Scenario_Sensors,Algorithm,Trial_ID,Fitness_Cost,Execution_Time_s,Energy_Total_J,Avg_Delay_s,Min_Link_Margin_dB
6,GA,1,1.9096068335719965,0.3872189521789551,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,2,1.9096068335719965,0.4163529872894287,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,3,1.9096068335719965,0.38367223739624023,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,4,1.9096068335719965,0.49925994873046875,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,5,1.9096068335719965,0.37657809257507324,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,6,1.9096068335719965,0.28493380546569824,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,7,1.9096068335719965,0.4301280975341797,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,8,1.9096068335719965,0.23240089416503906,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,9,1.9096068335719965,0.4393937587738037,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,10,1.9096068335719965,0.22395896911621094,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,11,1.9096068335719965,0.29524898529052734,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,12,1.9096068335719965,0.2863459587097168,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,13,1.9096068335719965,0.46620631217956543,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,14,1.9096068335719965,0.4363901615142822,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,15,1.9096068335719965,0.4597299098968506,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,16,1.9096068335719965,0.31688690185546875,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,17,1000.0,0.06303286552429199,,,0.0
6,GA,18,1.9096068335719965,0.4160768985748291,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,19,1.9096068335719965,0.3974170684814453,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,20,1.9096068335719965,0.46423816680908203,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,21,1.9096068335719965,0.4242880344390869,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,22,1.9096068335719965,0.4366779327392578,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,23,1.9096068335719965,0.4346787929534912,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,24,1.9096068335719965,0.47348594665527344,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,25,1.9096068335719965,0.4090700149536133,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,26,800.0,0.0839390754699707,,,0.0
6,GA,27,1.9096068335719965,0.0738821029663086,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,28,1.9096068335719965,0.4835782051086426,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,29,1.9096068335719965,0.06677103042602539,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,GA,30,1.9096068335719965,0.45584678649902344,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,1,1.9096068335719965,0.07898592948913574,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,2,1.9096068335719965,0.10547995567321777,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,3,1.9096068335719965,0.11061286926269531,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,4,1.9096068335719965,0.11002326011657715,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,5,1.9096068335719965,0.09020113945007324,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,6,1.9096068335719965,0.07616996765136719,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,7,1.9096068335719965,0.08354783058166504,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,8,1.9096068335719965,0.13794994354248047,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,9,1.9096068335719965,0.10462117195129395,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,10,1.9096068335719965,0.10095691680908203,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,11,1.9096068335719965,0.10785508155822754,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,12,1.9096068335719965,0.09400606155395508,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,13,1.9096068335719965,0.09730195999145508,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,14,1.9096068335719965,0.13085007667541504,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,15,1.9096068335719965,0.11118006706237793,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,16,1.9096068335719965,0.09532022476196289,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,17,1.9096068335719965,0.06264495849609375,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,18,1.9096068335719965,0.09272909164428711,0.013694622351093767,0.0014999999999999998,35.68696213981387
6,PSO,19,1.9096068335719965,0.07061600685119629,0.013694622351093767,0.0014999999999999998,35.68696213981387
